Frame,Time(s),X,Y
1,0.0166667,164.038,593
2,0.0333333,168.769,598
3,0.05,170.63,602.741
4,0.0666667,174.944,608.117
5,0.0833333,180.944,612.883
6,0.1,184,619
7,0.116667,188.038,624
8,0.133333,194.095,628.878
9,0.15,198.056,636.117
10,0.166667,200.944,638.883
11,0.183333,205.935,642.032
12,0.2,208.868,645.868
13,0.216667,213.935,650.968
14,0.233333,217.935,654.968
15,0.25,222.944,658.883
16,0.266667,226.694,660.139
17,0.283333,230.944,666.883
18,0.3,236.196,671.312
19,0.316667,238.107,673
20,0.333333,242.829,677.112
21,0.35,246.248,677.947
22,0.366667,250.056,680.883
23,0.383333,254.924,685.288
24,0.4,260.942,686.872
25,0.416667,263.944,688.944
26,0.433333,268.962,693.038
27,0.45,272.63,692.741
28,0.466667,276.944,696.117
29,0.483333,280.63,698.259
30,0.5,284.171,700.112
31,0.516667,286.898,700.863
32,0.533333,292.076,701.712
33,0.55,295.935,704.032
34,0.566667,300.898,704.863
35,0.583333,304.231,708
36,0.6,308.944,708.117
37,0.616667,313.056,708.944
38,0.633333,317.089,707.593
39,0.65,320.056,708.883
40,0.666667,323.065,710.032
41,0.683333,327.935,710.032
42,0.7,331.935,710.032
43,0.716667,334.944,710.117
44,0.733333,341.065,710.968
45,0.75,344.944,710.117
46,0.766667,348.944,708.117
47,0.783333,352.63,708.259
48,0.8,358.231,706
49,0.816667,359.944,708.056
50,0.833333,364.962,705.962
51,0.85,369.065,704.968
52,0.866667,373.944,702.056
53,0.883333,376.102,702.137
54,0.9,380.694,698.861
55,0.916667,386.207,699.724
56,0.933333,388.898,696.137
57,0.95,392.231,694
58,0.966667,396.886,694.163
59,0.983333,400.752,691.053
60,1,403.944,688.056
61,1.01667,408.038,685
62,1.03333,412.038,682
63,1.05,416.056,682.117
64,1.06667,420.056,678.117
65,1.08333,424.7,673.9
66,1.1,428.944,670.883
67,1.11667,432.944,668.883
68,1.13333,434.038,663
69,1.15,439.056,660.056
70,1.16667,444.056,656.883
71,1.18333,447.935,652.032
72,1.2,453,648.909
73,1.21667,454.967,643.967
74,1.23333,460.231,640
75,1.25,462.056,636.117
76,1.26667,468.102,632.137
77,1.28333,471,627
78,1.3,474.962,622
79,1.31667,478.769,616
80,1.33333,483.077,611
81,1.35,486.056,604.117
82,1.36667,490.038,601
83,1.38333,494.102,594.863
84,1.4,498.056,590.117
85,1.41667,502.231,585
86,1.43333,506.102,576.863
87,1.45,508.37,572.259
88,1.46667,515.077,565
89,1.48333,516.231,559
90,1.5,520.769,552
91,1.51667,524.076,545.712
92,1.53333,525.065,540.032
93,1.55,532.63,534.259
94,1.56667,536.898,526.863
95,1.58333,540.942,518.128
96,1.6,542.643,512
97,1.61667,548.076,505.288
98,1.63333,550.868,497.868
99,1.65,556.056,488.883
100,1.66667,560.095,482.878
101,1.68333,562.944,474.117
102,1.7,566.924,465.712
103,1.71667,570.231,457
104,1.73333,574.37,450.259
105,1.75,578.231,441
106,1.76667,582.37,434.259
107,1.78333,584.769,424
108,1.8,588.038,414
109,1.81667,592.944,406.117
110,1.83333,596.944,396.883
111,1.85,598.944,386.883
112,1.86667,602.944,378.117
113,1.88333,608.102,368.863
114,1.9,610.944,358.883
115,1.91667,616.102,350.863
116,1.93333,618.944,338.883
117,1.95,622.944,330.117
118,1.96667,626.056,320.117
119,1.98333,630.033,311.033
120,2,634.102,300.137
121,2.01667,638.102,290.137
122,2.03333,642.056,278.883
123,2.05,642.63,268.259
124,2.06667,648.056,256.883
125,2.08333,652.056,246.883
126,2.1,654.63,236.741
127,2.11667,660.113,224.371
128,2.13333,663.932,213.311
129,2.15,668.038,201
130,2.16667,672.033,189.967
131,2.18333,674.038,179
132,2.2,678.038,167
133,2.21667,680.769,154
134,2.23333,684.769,143
135,2.25,689,130
136,2.26667,692.038,119
137,2.28333,694.924,105.288
138,2.3,700,90.5
139,2.31667,702.593,80.1512
140,2.33333,706.038,68
141,2.35,710.102,54.8629
142,2.36667,714.05,40.925
143,2.38333,718.113,29.371
144,2.4,722.769,15
